name,prices,image_url
Avocado,"{'New World': {'price': np.float64(2.99), 'link': 'https://www.newworld.co.nz/shop/product/5028110_ea_000nw?name=-avocado'}, ""Pak'nSave"": {'price': np.float64(1.39), 'link': 'https://www.paknsave.co.nz/shop/product/5028110_ea_000pns?name=-avocado'}, 'Woolworths': {'price': np.float64(3.0), 'link': 'https://www.woolworths.co.nz/shop/productdetails?stockcode=354360&name=fresh-avocado-pre-ripened'}}",https://a.fsimg.co.nz/product/retail/fan/image/400x400/5028110.png?w=384
Bananas,"{'New World': {'price': np.float64(3.69), 'link': 'https://www.newworld.co.nz/shop/product/5046542_kgm_000nw?name=-bananas'}, ""Pak'nSave"": {'price': np.float64(3.49), 'link': 'https://www.paknsave.co.nz/shop/product/5046542_kgm_000pns?name=-bananas'}, 'Woolworths': {'price': np.float64(3.69), 'link': 'https://www.woolworths.co.nz/shop/productdetails?stockcode=133211&name=fresh-fruit-bananas-yellow'}}",https://a.fsimg.co.nz/product/retail/fan/image/400x400/5046542.png?w=384
Pams Value Standard Milk,"{'New World': {'price': np.float64(4.48), 'link': 'https://www.newworld.co.nz/shop/product/5201479_ea_000nw?name=pams-value-standard-milk'}, ""Pak'nSave"": {'price': np.float64(4.4), 'link': 'https://www.paknsave.co.nz/shop/product/5201479_ea_000pns?name=pams-value-standard-milk'}, 'Woolworths': {'price': np.float64(3.39), 'link': 'https://www.woolworths.co.nz/shop/productdetails?stockcode=120207&name=sanitarium-so-good-oat-milk-no-added-sugar'}}",https://a.fsimg.co.nz/product/retail/fan/image/400x400/5201479.png?w=384
Broccoli,"{'New World': {'price': np.float64(2.69), 'link': 'https://www.newworld.co.nz/shop/product/5039956_ea_000nw?name=-broccoli'}, ""Pak'nSave"": {'price': np.float64(2.99), 'link': 'https://www.paknsave.co.nz/shop/product/5039956_ea_000pns?name=-broccoli'}, 'Woolworths': {'price': np.float64(2.5), 'link': 'https://www.woolworths.co.nz/shop/productdetails?stockcode=281082&name=fresh-vegetable-broccoli-head'}}",https://a.fsimg.co.nz/product/retail/fan/image/400x400/5039956.png?w=384
Pams Pure Butter,"{'New World': {'price': np.float64(7.19), 'link': 'https://www.newworld.co.nz/shop/product/5023660_ea_000nw?name=pams-pure-butter'}, ""Pak'nSave"": {'price': np.float64(6.99), 'link': 'https://www.paknsave.co.nz/shop/product/5023660_ea_000pns?name=pams-pure-butter'}, 'Woolworths': {'price': np.float64(7.19), 'link': 'https://www.woolworths.co.nz/shop/productdetails?stockcode=827847&name=woolworths-butter-salted'}}",https://a.fsimg.co.nz/product/retail/fan/image/400x400/5023660.png?w=384
Telegraph Cucumber,"{'New World': {'price': np.float64(3.49), 'link': 'https://www.newworld.co.nz/shop/product/5028889_ea_000nw?name=-telegraph-cucumber'}, ""Pak'nSave"": {'price': np.float64(2.99), 'link': 'https://www.paknsave.co.nz/shop/product/5028889_ea_000pns?name=-telegraph-cucumber'}, 'Woolworths': {'price': np.float64(2.9), 'link': 'https://www.woolworths.co.nz/shop/productdetails?stockcode=281455&name=fresh-vegetable-cucumbers-telegraph'}}",https://a.fsimg.co.nz/product/retail/fan/image/400x400/5028889.png?w=384
Pams Value Standard Milk,"{'New World': {'price': np.float64(4.48), 'link': 'https://www.newworld.co.nz/shop/product/5201479_ea_000nw?name=pams-value-standard-milk'}, ""Pak'nSave"": {'price': np.float64(4.4), 'link': 'https://www.paknsave.co.nz/shop/product/5201479_ea_000pns?name=pams-value-standard-milk'}, 'Woolworths': {'price': np.float64(3.39), 'link': 'https://www.woolworths.co.nz/shop/productdetails?stockcode=120207&name=sanitarium-so-good-oat-milk-no-added-sugar'}}",https://a.fsimg.co.nz/product/retail/fan/image/400x400/5201479.png?w=384
Red Capsicum,"{'New World': {'price': np.float64(2.39), 'link': 'https://www.newworld.co.nz/shop/product/5046503_ea_000nw?name=-red-capsicum'}, ""Pak'nSave"": {'price': np.float64(4.49), 'link': 'https://www.paknsave.co.nz/shop/product/5040098_kgm_000pns?name=-loose-red-tomatoes'}, 'Woolworths': {'price': np.float64(2.39), 'link': 'https://www.woolworths.co.nz/shop/productdetails?stockcode=281197&name=fresh-vegetable-capsicum-red'}}",https://a.fsimg.co.nz/product/retail/fan/image/400x400/5046503.png?w=384
Pams Value Lite Milk,"{'New World': {'price': np.float64(4.48), 'link': 'https://www.newworld.co.nz/shop/product/5201487_ea_000nw?name=pams-value-lite-milk'}, ""Pak'nSave"": {'price': np.float64(4.4), 'link': 'https://www.paknsave.co.nz/shop/product/5201487_ea_000pns?name=pams-value-lite-milk'}, 'Woolworths': {'price': np.float64(6.75), 'link': 'https://www.woolworths.co.nz/shop/productdetails?stockcode=282768&name=woolworths-milk-standard'}}",https://a.fsimg.co.nz/product/retail/fan/image/400x400/5201487.png?w=384
Tip Top Supersoft White Toast Bread,"{'New World': {'price': np.float64(4.09), 'link': 'https://www.newworld.co.nz/shop/product/5009506_ea_000nw?name=tip-top-supersoft-white-toast-bread'}, ""Pak'nSave"": {'price': np.float64(3.69), 'link': 'https://www.paknsave.co.nz/shop/product/5009506_ea_000pns?name=tip-top-supersoft-white-toast-bread'}, 'Woolworths': {'price': np.float64(7.0), 'link': 'https://www.woolworths.co.nz/shop/productdetails?stockcode=475341&name=tip-top-popsicle-ice-blocks-lime-orange-raspberry-minis'}}",https://a.fsimg.co.nz/product/retail/fan/image/400x400/5009506.png?w=384
Pams Value White Toast Fresh Sliced Bread,"{'New World': {'price': np.float64(1.49), 'link': 'https://www.newworld.co.nz/shop/product/5092911_ea_000nw?name=pams-value-white-toast-fresh-sliced-bread'}, ""Pak'nSave"": {'price': np.float64(1.15), 'link': 'https://www.paknsave.co.nz/shop/product/5092911_ea_000pns?name=pams-value-white-toast-fresh-sliced-bread'}, 'Woolworths': {'price': np.float64(3.69), 'link': 'https://www.woolworths.co.nz/shop/productdetails?stockcode=133211&name=fresh-fruit-bananas-yellow'}}",https://a.fsimg.co.nz/product/retail/fan/image/400x400/5092911.png?w=384
Carrots,"{'New World': {'price': np.float64(2.99), 'link': 'https://www.newworld.co.nz/shop/product/5039965_kgm_000nw?name=-carrots'}, ""Pak'nSave"": {'price': np.float64(5.29), 'link': 'https://www.paknsave.co.nz/shop/product/5264169_ea_000pns?name=value-fresh-carrots'}, 'Woolworths': {'price': np.float64(2.5), 'link': 'https://www.woolworths.co.nz/shop/productdetails?stockcode=135344&name=fresh-vegetable-carrots'}}",https://a.fsimg.co.nz/product/retail/fan/image/400x400/5039965.png?w=384
Anchor Blue Milk,"{'New World': {'price': np.float64(5.44), 'link': 'https://www.newworld.co.nz/shop/product/5000527_ea_000nw?name=anchor-blue-milk'}, ""Pak'nSave"": {'price': np.float64(5.34), 'link': 'https://www.paknsave.co.nz/shop/product/5000527_ea_000pns?name=anchor-blue-milk'}, 'Woolworths': {'price': np.float64(6.75), 'link': 'https://www.woolworths.co.nz/shop/productdetails?stockcode=282768&name=woolworths-milk-standard'}}",https://a.fsimg.co.nz/product/retail/fan/image/400x400/5000527.png?w=384
Skinless Chicken Breast,"{'New World': {'price': np.float64(14.99), 'link': 'https://www.newworld.co.nz/shop/product/5105651_kgm_000nw?name=-skinless-chicken-breast'}, ""Pak'nSave"": {'price': np.float64(10.49), 'link': 'https://www.paknsave.co.nz/shop/product/5105651_kgm_000pns?name=-skinless-chicken-breast'}, 'Woolworths': {'price': np.float64(12.9), 'link': 'https://www.woolworths.co.nz/shop/productdetails?stockcode=73034&name=woolworths-nz-chicken-breast-skinless-boneless'}}",https://a.fsimg.co.nz/product/retail/fan/image/400x400/5105651.png?w=384
Pams Fresh Cream,"{'New World': {'price': np.float64(3.05), 'link': 'https://www.newworld.co.nz/shop/product/5028852_ea_000nw?name=pams-fresh-cream'}, ""Pak'nSave"": {'price': np.float64(4.5), 'link': 'https://www.paknsave.co.nz/shop/product/5040641_ea_000pns?name=pams-fresh-cream'}, 'Woolworths': {'price': np.float64(3.69), 'link': 'https://www.woolworths.co.nz/shop/productdetails?stockcode=133211&name=fresh-fruit-bananas-yellow'}}",https://a.fsimg.co.nz/product/retail/fan/image/400x400/5028852.png?w=384
New World Eco Shopping Bag,"{'New World': {'price': np.float64(0.99), 'link': 'https://www.newworld.co.nz/shop/product/5226143_ea_000nw?name=new-world-eco-shopping-bag'}, ""Pak'nSave"": {'price': np.float64(3.49), 'link': 'https://www.paknsave.co.nz/shop/product/5015656_ea_000pns?name=doritos-cheese-supreme-corn-chips-party-bag-share-pack'}, 'Woolworths': {'price': np.float64(3.3), 'link': 'https://www.woolworths.co.nz/shop/productgroup/188169'}}",https://a.fsimg.co.nz/product/retail/fan/image/400x400/5226143.png?w=384
Pams Fresh Cream,"{'New World': {'price': np.float64(3.05), 'link': 'https://www.newworld.co.nz/shop/product/5028852_ea_000nw?name=pams-fresh-cream'}, ""Pak'nSave"": {'price': np.float64(4.5), 'link': 'https://www.paknsave.co.nz/shop/product/5040641_ea_000pns?name=pams-fresh-cream'}, 'Woolworths': {'price': np.float64(3.69), 'link': 'https://www.woolworths.co.nz/shop/productdetails?stockcode=133211&name=fresh-fruit-bananas-yellow'}}",https://a.fsimg.co.nz/product/retail/fan/image/400x400/5028852.png?w=384
Nature's Fresh White Toast Bread,"{'New World': {'price': np.float64(3.99), 'link': 'https://www.newworld.co.nz/shop/product/5026067_ea_000nw?name=nature%27s-fresh-white-toast-bread'}, ""Pak'nSave"": {'price': np.float64(3.59), 'link': 'https://www.paknsave.co.nz/shop/product/5026067_ea_000pns?name=nature%27s-fresh-white-toast-bread'}, 'Woolworths': {'price': np.float64(3.99), 'link': 'https://www.woolworths.co.nz/shop/productdetails?stockcode=275560&name=natures-fresh-toast-bread-white'}}",https://a.fsimg.co.nz/product/retail/fan/image/400x400/5026067.png?w=384
Molenberg Original Toast Bread,"{'New World': {'price': np.float64(4.19), 'link': 'https://www.newworld.co.nz/shop/product/5026127_ea_000nw?name=molenberg-original-toast-bread'}, ""Pak'nSave"": {'price': np.float64(3.79), 'link': 'https://www.paknsave.co.nz/shop/product/5026127_ea_000pns?name=molenberg-original-toast-bread'}, 'Woolworths': {'price': np.float64(4.19), 'link': 'https://www.woolworths.co.nz/shop/productdetails?stockcode=275585&name=molenberg-toast-bread-original'}}",https://a.fsimg.co.nz/product/retail/fan/image/400x400/5026127.png?w=384
Pams Value Standard Milk,"{'New World': {'price': np.float64(4.48), 'link': 'https://www.newworld.co.nz/shop/product/5201479_ea_000nw?name=pams-value-standard-milk'}, ""Pak'nSave"": {'price': np.float64(4.4), 'link': 'https://www.paknsave.co.nz/shop/product/5201479_ea_000pns?name=pams-value-standard-milk'}, 'Woolworths': {'price': np.float64(3.39), 'link': 'https://www.woolworths.co.nz/shop/productdetails?stockcode=120207&name=sanitarium-so-good-oat-milk-no-added-sugar'}}",https://a.fsimg.co.nz/product/retail/fan/image/400x400/5201479.png?w=384
Brown Onions,"{'New World': {'price': np.float64(1.79), 'link': 'https://www.newworld.co.nz/shop/product/5045856_kgm_000nw?name=-brown-onions'}, ""Pak'nSave"": {'price': np.float64(1.69), 'link': 'https://www.paknsave.co.nz/shop/product/5045856_kgm_000pns?name=-brown-onions'}, 'Woolworths': {'price': np.float64(1.99), 'link': 'https://www.woolworths.co.nz/shop/productdetails?stockcode=144329&name=fresh-vegetable-onions-brown'}}",https://a.fsimg.co.nz/product/retail/fan/image/400x400/5045856.png?w=384
Anchor Blue Milk,"{'New World': {'price': np.float64(5.44), 'link': 'https://www.newworld.co.nz/shop/product/5000527_ea_000nw?name=anchor-blue-milk'}, ""Pak'nSave"": {'price': np.float64(5.34), 'link': 'https://www.paknsave.co.nz/shop/product/5000527_ea_000pns?name=anchor-blue-milk'}, 'Woolworths': {'price': np.float64(6.75), 'link': 'https://www.woolworths.co.nz/shop/productdetails?stockcode=282768&name=woolworths-milk-standard'}}",https://a.fsimg.co.nz/product/retail/fan/image/400x400/5000527.png?w=384
Lamb Leg Roast,"{'New World': {'price': np.float64(19.99), 'link': 'https://www.newworld.co.nz/shop/product/5104657_kgm_000nw?name=-lamb-leg-roast'}, ""Pak'nSave"": {'price': np.float64(18.99), 'link': 'https://www.paknsave.co.nz/shop/product/5104657_kgm_000pns?name=-lamb-leg-roast'}, 'Woolworths': {'price': np.float64(5.69), 'link': 'https://www.woolworths.co.nz/shop/productdetails?stockcode=363271&name=tegel-meal-maker-free-range-shredded-roast-chicken'}}",https://a.fsimg.co.nz/product/retail/fan/image/400x400/5104657.png?w=384
Vogel's Original Mixed Grain Toast Bread,"{'New World': {'price': np.float64(5.19), 'link': 'https://www.newworld.co.nz/shop/product/5008561_ea_000nw?name=vogel%27s-original-mixed-grain-toast-bread'}, ""Pak'nSave"": {'price': np.float64(4.69), 'link': 'https://www.paknsave.co.nz/shop/product/5008561_ea_000pns?name=vogel%27s-original-mixed-grain-toast-bread'}, 'Woolworths': {'price': np.float64(3.5), 'link': 'https://www.woolworths.co.nz/shop/productdetails?stockcode=261282&name=ritz-crackers-original'}}",https://a.fsimg.co.nz/product/retail/fan/image/400x400/5008561.png?w=384
NZ Beef Prime Mince,"{'New World': {'price': np.float64(20.99), 'link': 'https://www.newworld.co.nz/shop/product/5125914_kgm_000nw?name=-nz-beef-prime-mince'}, ""Pak'nSave"": {'price': np.float64(15.49), 'link': 'https://www.paknsave.co.nz/shop/product/5104350_kgm_000pns?name=-nz-beef-mince'}, 'Woolworths': {'price': np.float64(12.9), 'link': 'https://www.woolworths.co.nz/shop/productdetails?stockcode=73034&name=woolworths-nz-chicken-breast-skinless-boneless'}}",https://a.fsimg.co.nz/product/retail/fan/image/400x400/5125914.png?w=384
Sunny Crust White Toast Bread,"{'New World': {'price': np.float64(2.49), 'link': 'https://www.newworld.co.nz/shop/product/5013058_ea_000nw?name=sunny-crust-white-toast-bread'}, ""Pak'nSave"": {'price': np.float64(2.29), 'link': 'https://www.paknsave.co.nz/shop/product/5013058_ea_000pns?name=sunny-crust-white-toast-bread'}, 'Woolworths': {'price': np.float64(8.0), 'link': 'https://www.woolworths.co.nz/shop/productdetails?stockcode=755527&name=paseo-luxury-toilet-paper-8pk-long-roll-white-3-ply'}}",https://a.fsimg.co.nz/product/retail/fan/image/400x400/5013058.png?w=384
Pams Value Wheatmeal Toast Fresh Sliced Bread,"{'New World': {'price': np.float64(1.49), 'link': 'https://www.newworld.co.nz/shop/product/5233712_ea_000nw?name=pams-value-wheatmeal-toast-fresh-sliced-bread'}, ""Pak'nSave"": {'price': np.float64(1.15), 'link': 'https://www.paknsave.co.nz/shop/product/5233712_ea_000pns?name=pams-value-wheatmeal-toast-fresh-sliced-bread'}, 'Woolworths': {'price': np.float64(3.69), 'link': 'https://www.woolworths.co.nz/shop/productdetails?stockcode=133211&name=fresh-fruit-bananas-yellow'}}",https://a.fsimg.co.nz/product/retail/fan/image/400x400/5233712.png?w=384
Tip Top Oatilicious Toast Bread,"{'New World': {'price': np.float64(4.19), 'link': 'https://www.newworld.co.nz/shop/product/5017010_ea_000nw?name=tip-top-oatilicious-toast-bread'}, ""Pak'nSave"": {'price': np.float64(3.79), 'link': 'https://www.paknsave.co.nz/shop/product/5017010_ea_000pns?name=tip-top-oatilicious-toast-bread'}, 'Woolworths': {'price': np.float64(4.19), 'link': 'https://www.woolworths.co.nz/shop/productdetails?stockcode=371547&name=tip-top-oatilicious-toast-bread'}}",https://a.fsimg.co.nz/product/retail/fan/image/400x400/5017010.png?w=384
White Washed Potatoes,"{'New World': {'price': np.float64(2.79), 'link': 'https://www.newworld.co.nz/shop/product/5045849_kgm_000nw?name=-white-washed-potatoes'}, ""Pak'nSave"": {'price': np.float64(2.79), 'link': 'https://www.paknsave.co.nz/shop/product/5045849_kgm_000pns?name=-white-washed-potatoes'}, 'Woolworths': {'price': np.float64(4.09), 'link': 'https://www.woolworths.co.nz/shop/productgroup/188100'}}",https://a.fsimg.co.nz/product/retail/fan/image/400x400/5045849.png?w=384
NZ Chicken Drumsticks,"{'New World': {'price': np.float64(5.99), 'link': 'https://www.newworld.co.nz/shop/product/5105213_kgm_000nw?name=-nz-chicken-drumsticks'}, ""Pak'nSave"": {'price': np.float64(6.49), 'link': 'https://www.paknsave.co.nz/shop/product/5105213_kgm_000pns?name=-nz-chicken-drumsticks'}, 'Woolworths': {'price': np.float64(6.99), 'link': 'https://www.woolworths.co.nz/shop/productgroup/80842'}}",https://a.fsimg.co.nz/product/retail/fan/image/400x400/5105213.png?w=384
Paseo Pure Luxury 3 Ply Long Toilet Tissue,"{'New World': {'price': np.float64(10.29), 'link': 'https://www.newworld.co.nz/shop/product/5022379_ea_000nw?name=paseo-pure-luxury-3-ply-long-toilet-tissue'}, ""Pak'nSave"": {'price': np.float64(7.49), 'link': 'https://www.paknsave.co.nz/shop/product/5022379_ea_000pns?name=paseo-pure-luxury-3-ply-long-toilet-tissue'}, 'Woolworths': {'price': np.float64(2.0), 'link': 'https://www.woolworths.co.nz/shop/productdetails?stockcode=208436&name=paseo-tissues-pure-white'}}",https://a.fsimg.co.nz/product/retail/fan/image/400x400/5022379.png?w=384
Loose Red Tomatoes,"{'New World': {'price': np.float64(4.99), 'link': 'https://www.newworld.co.nz/shop/product/5040098_kgm_000nw?name=-loose-red-tomatoes'}, ""Pak'nSave"": {'price': np.float64(4.49), 'link': 'https://www.paknsave.co.nz/shop/product/5040098_kgm_000pns?name=-loose-red-tomatoes'}, 'Woolworths': {'price': np.float64(0.92), 'link': 'https://www.woolworths.co.nz/shop/productdetails?stockcode=311488&name=essentials-diced-tomatoes'}}",https://a.fsimg.co.nz/product/retail/fan/image/400x400/5040098.png?w=384
Bluebird Originals Ready Salted Potato Chips,"{'New World': {'price': np.float64(2.79), 'link': 'https://www.newworld.co.nz/shop/product/5010717_ea_000nw?name=bluebird-originals-ready-salted-potato-chips'}, ""Pak'nSave"": {'price': np.float64(2.29), 'link': 'https://www.paknsave.co.nz/shop/product/5010717_ea_000pns?name=bluebird-originals-ready-salted-potato-chips'}, 'Woolworths': {'price': np.float64(2.79), 'link': 'https://www.woolworths.co.nz/shop/productdetails?stockcode=297515&name=bluebird-originals-chips-ready-salted'}}",https://a.fsimg.co.nz/product/retail/fan/image/400x400/5010717.png?w=384
Gold Kiwifruit,"{'New World': {'price': np.float64(8.99), 'link': 'https://www.newworld.co.nz/shop/product/5039977_kgm_000nw?name=-gold-kiwifruit'}, ""Pak'nSave"": {'price': np.float64(5.99), 'link': 'https://www.paknsave.co.nz/shop/product/5009653_ea_000pns?name=whittaker%27s-almond-gold-33%25-cocoa-milk-chocolate-block'}, 'Woolworths': {'price': np.float64(5.0), 'link': 'https://www.woolworths.co.nz/shop/productdetails?stockcode=212041&name=woolworths-kiwifruit-red'}}",https://a.fsimg.co.nz/product/retail/fan/image/400x400/5039977.png?w=384
Pams Baby Spinach,"{'New World': {'price': np.float64(3.99), 'link': 'https://www.newworld.co.nz/shop/product/5040464_ea_000nw?name=pams-baby-spinach'}, ""Pak'nSave"": {'price': np.float64(3.99), 'link': 'https://www.paknsave.co.nz/shop/product/5040464_ea_000pns?name=pams-baby-spinach'}, 'Woolworths': {'price': np.float64(3.3), 'link': 'https://www.woolworths.co.nz/shop/productgroup/188169'}}",https://a.fsimg.co.nz/product/retail/fan/image/400x400/5040464.png?w=384
