Name,Price,Image URL,Website Link
Avocado,1.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5028110.png?w=384,https://www.paknsave.co.nz/shop/product/5028110_ea_000pns?name=-avocado
Bananas,3.19,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5046542.png?w=384,https://www.paknsave.co.nz/shop/product/5046542_kgm_000pns?name=-bananas
Broccoli,1.39,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5039956.png?w=384,https://www.paknsave.co.nz/shop/product/5039956_ea_000pns?name=-broccoli
Pams Pure Butter,6.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5023660.png?w=384,https://www.paknsave.co.nz/shop/product/5023660_ea_000pns?name=pams-pure-butter
Pams Value Standard Milk,4.40,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5201479.png?w=384,https://www.paknsave.co.nz/shop/product/5201479_ea_000pns?name=pams-value-standard-milk
Telegraph Cucumber,2.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5028889.png?w=384,https://www.paknsave.co.nz/shop/product/5028889_ea_000pns?name=-telegraph-cucumber
Pams Value Standard Milk,6.69,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5201490.png?w=384,https://www.paknsave.co.nz/shop/product/5201490_ea_000pns?name=pams-value-standard-milk
Pams Value White Toast Fresh Sliced Bread,1.39,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5092911.png?w=384,https://www.paknsave.co.nz/shop/product/5092911_ea_000pns?name=pams-value-white-toast-fresh-sliced-bread
Red Capsicum,1.29,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5046503.png?w=384,https://www.paknsave.co.nz/shop/product/5046503_ea_000pns?name=-red-capsicum
NZ Chicken Drumsticks,6.49,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5105213.png?w=384,https://www.paknsave.co.nz/shop/product/5105213_kgm_000pns?name=-nz-chicken-drumsticks
Carrots,1.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5039965.png?w=384,https://www.paknsave.co.nz/shop/product/5039965_kgm_000pns?name=-carrots
Skinless Chicken Breast,13.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5105651.png?w=384,https://www.paknsave.co.nz/shop/product/5105651_kgm_000pns?name=-skinless-chicken-breast
Loose Red Tomatoes,4.49,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5040098.png?w=384,https://www.paknsave.co.nz/shop/product/5040098_kgm_000pns?name=-loose-red-tomatoes
Brown Onions,1.29,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5045856.png?w=384,https://www.paknsave.co.nz/shop/product/5045856_kgm_000pns?name=-brown-onions
Tip Top Supersoft White Toast Bread,3.69,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5009506.png?w=384,https://www.paknsave.co.nz/shop/product/5009506_ea_000pns?name=tip-top-supersoft-white-toast-bread
Pams Value Lite Milk,4.40,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5201487.png?w=384,https://www.paknsave.co.nz/shop/product/5201487_ea_000pns?name=pams-value-lite-milk
Pams Value Wheatmeal Toast Fresh Sliced Bread,1.39,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5233712.png?w=384,https://www.paknsave.co.nz/shop/product/5233712_ea_000pns?name=pams-value-wheatmeal-toast-fresh-sliced-bread
NZ Beef Mince,15.49,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5104350.png?w=384,https://www.paknsave.co.nz/shop/product/5104350_kgm_000pns?name=-nz-beef-mince
Sunny Crust White Toast Bread,2.29,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5013058.png?w=384,https://www.paknsave.co.nz/shop/product/5013058_ea_000pns?name=sunny-crust-white-toast-bread
Nature's Fresh White Toast Bread,3.59,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5026067.png?w=384,https://www.paknsave.co.nz/shop/product/5026067_ea_000pns?name=nature%27s-fresh-white-toast-bread
Lamb Shoulder Chops,15.49,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5101306.png?w=384,https://www.paknsave.co.nz/shop/product/5101306_kgm_000pns?name=-lamb-shoulder-chops
Royal Gala Apples,3.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5046525.png?w=384,https://www.paknsave.co.nz/shop/product/5046525_kgm_000pns?name=-royal-gala-apples
White Washed Potatoes,2.29,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5045849.png?w=384,https://www.paknsave.co.nz/shop/product/5045849_kgm_000pns?name=-white-washed-potatoes
Pams Fresh Cream,4.50,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5040641.png?w=384,https://www.paknsave.co.nz/shop/product/5040641_ea_000pns?name=pams-fresh-cream
Spring Onions,1.49,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5040009.png?w=384,https://www.paknsave.co.nz/shop/product/5040009_ea_000pns?name=-spring-onions
Pams Fresh Cream,3.02,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5028852.png?w=384,https://www.paknsave.co.nz/shop/product/5028852_ea_000pns?name=pams-fresh-cream
Cauliflower,6.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5039966.png?w=384,https://www.paknsave.co.nz/shop/product/5039966_ea_000pns?name=-cauliflower
Bluebird Originals Ready Salted Potato Chips,5..00,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5010717.png?w=384,https://www.paknsave.co.nz/shop/product/5010717_ea_000pns?name=bluebird-originals-ready-salted-potato-chips
Pams Edam Cheese,11.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5268694.png?w=384,https://www.paknsave.co.nz/shop/product/5268694_ea_000pns?name=pams-edam-cheese
Paseo Pure Luxury 3 Ply Long Toilet Tissue,7.49,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5022379.png?w=384,https://www.paknsave.co.nz/shop/product/5022379_ea_000pns?name=paseo-pure-luxury-3-ply-long-toilet-tissue
Pams Value Table Spread,1.79,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5094652.png?w=384,https://www.paknsave.co.nz/shop/product/5094652_ea_000pns?name=pams-value-table-spread
Pams Value Chopped Tomatoes in Juice,0.89,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5092718.png?w=384,https://www.paknsave.co.nz/shop/product/5092718_ea_000pns?name=pams-value-chopped-tomatoes-in-juice
Yellow Agria Potatoes,2.79,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5045841.png?w=384,https://www.paknsave.co.nz/shop/product/5045841_kgm_000pns?name=-yellow-agria-potatoes
Anchor Blue Milk,5.34,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5000527.png?w=384,https://www.paknsave.co.nz/shop/product/5000527_ea_000pns?name=anchor-blue-milk
Pams Colby Cheese,11.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5268695.png?w=384,https://www.paknsave.co.nz/shop/product/5268695_ea_000pns?name=pams-colby-cheese
Sorbent Silky White Tissues,2.79,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5001842.png?w=384,https://www.paknsave.co.nz/shop/product/5001842_ea_000pns?name=sorbent-silky-white-tissues
NZ Beef Prime Mince,12.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5125914.png?w=384,https://www.paknsave.co.nz/shop/product/5125914_kgm_000pns?name=-nz-beef-prime-mince
NZ Chicken Thighs Bone In,9.49,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5118844.png?w=384,https://www.paknsave.co.nz/shop/product/5118844_kgm_000pns?name=-nz-chicken-thighs-bone-in
Sunny Crust Multigrain Toast Bread,2.29,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5013060.png?w=384,https://www.paknsave.co.nz/shop/product/5013060_ea_000pns?name=sunny-crust-multigrain-toast-bread
